,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
194,226 POND STREET,Municipal,Multifamily Housing,29 Pond St.,02130,28000,187.8,1.0,,Multifamily Housing,1951,296.3,10.6,5258308.3,0.13648608237748253,0.8517852975642376,,5385.22,,,1902006000
195,227 ANNAPOLIS,Municipal,Multifamily Housing,52 Summer St.,02122,57800,81.4,35.0,,Multifamily Housing,1962,268.5,4.6,4704015.4,0.1675438629303807,0.818058631355671,,3601.99,,,1301797000
196,228 ASHMONT,Municipal,Multifamily Housing,374 Ashmont St,02124,21600,270.3,1.0,,Multifamily Housing,1962,325.6,15.1,5837437.3,0.11208025956869808,0.8782883543776994,,7617.7,,,1603120000
197,229 HOLGATE,Municipal,Multifamily Housing,129 Elm Hill Ave.,02119,63162,155.2,1.0,,Multifamily Housing,1962,549.9,8.7,9800796,0.12646689807644196,0.8626654712535595,,5298.5,,,1202342000
198,230 FOLEY,Municipal,Multifamily Housing,199 H St.,02127,84224,88.5,36.0,,Multifamily Housing,1963,441.5,5.2,7452270.1,0.2584160438038874,0.7193775625496989,,3163.14,,,701516000
199,232 GROVELAND,Municipal,Multifamily Housing,15 Mary Moore Beatty Circle,02126,36000,48.6,27.0,,Multifamily Housing,1972,131,3.6,1748247.1,0.920867316525221,,,3206.97,,,1800112000
200,23-29 Mt Pleasant Ave,Compliant,Multifamily Housing,23-29 Mount Pleasant Avenue,02119,15716,86.9,,,Multifamily Housing,1900,74.4,4.7,1366348.6,0.05602899889530387,0.9391563763449532,,64.88,,,0802573000
201,233 Bay State Road,Compliant,College/University,233 Bay State Road,02215,19300,86.1,,,College/University,1968,106.8,5.5,1662084.5,0.47055523073586214,0.48900871165094195,,6.59,,LEED Project Number 1000023830,2100356000
202,234 Berkeley Street,Compliant,Retail Store,463 Boylston Street,02116,44000,127.7,6.0,,Retail Store,1863,365,8.3,5617558,0.500330829410217,0.45667439481710737,,10.2,,,501295000
203,234 DAVISON,Municipal,Multifamily Housing,101 Davison St.,02136,30600,34.1,86.0,,Multifamily Housing,1972,78.1,2.6,1042016.1,0.9208673750818246,,,5529.44,,,1804470000
204,235 WASHINGTON STREET,Municipal,Multifamily Housing,91-95 Washington St.,02135,39204,208.5,2.0,,Multifamily Housing,1952,458.5,11.7,8175486.5,0.12544784788036772,0.8637720703226652,,7827.28,,,2101840000
205,236 WEST NINTH STREET,Municipal,Multifamily Housing,195 West Ninth St.,02127,73000,99.9,21.0,,Multifamily Housing,1940,412.9,5.7,7295595.7,0.14674478559715143,0.8406450346474106,,3616.06,,,700386000
206,237 J.J. CARROLL,Municipal,Multifamily Housing,130 Chestnut Hill Ave,02135,54100,127.8,6.0,,Multifamily Housing,1966,387.4,7.2,6915014.1,0.12277761397478569,0.8666717975311143,,7133.51,,,2102552000
207,238 MEADE APARTMENTS,Municipal,Multifamily Housing,5 Melville Ave,02124,29984,127.5,5.0,,Multifamily Housing,1969,218.4,7.3,3823328.6,0.16915228589036266,0.8163119957829416,,5154.83,,,1700958000
208,240 MLK TOWERS,Municipal,Multifamily Housing,280 MLK Jr. Blvd,02119,95200,91.5,34.0,,Multifamily Housing,1969,502.2,5.3,8708635.8,0.19186275012212586,0.7916499849494223,,4072.43,,,1201140000
209,241 EVA WHITE (CASTLE SQ),Municipal,Multifamily Housing,440 Tremont St.,02116,104748,70.4,51.0,,Multifamily Housing,1968,436.6,4.2,7373305.3,0.2572340464458999,0.720661166709047,,4744.39,,,500478004
210,241 St. Botolph,Compliant,College/University,241 St. Botolph Street,02115,60000,67.3,,,College/University,1905,246.2,4.1,4040175.9,0.3302798925660637,0.6413382645047707,,8.5,,,402281000
211,242 WALNUT PARK,Municipal,Multifamily Housing,1990 Columbus Ave.,02119,121640,86,9.0,,Multifamily Housing,1970,700.9,5.8,10460947.4,0.5858645729162159,0.3637905205411892,,5502.93,,,1101630000
212,244 FREDERICK DOUGLAS,Municipal,Multifamily Housing,755 Tremont St.,02118,55472,84.2,3.0,,Multifamily Housing,1973,328.1,5.9,4672003.9,0.721989906515275,0.2159675423216149,,7248.19,,,402595000
213,245 AMORY STREET,Municipal,Multifamily Housing,125 Amory St.,02119,156000,75,17.0,,Multifamily Housing,1973,790.5,5.1,11696639.2,,0.33700933512593945,,6684.9,,,1101208000
214,247 GENERAL WARREN,Municipal,Multifamily Housing,114 Rutherford Ave.,02129,88600,48.3,66.0,,Multifamily Housing,1972,275.1,3.1,4277397.1,0.4730116947991573,0.48634114424400765,,3758.37,,,203861000
215,249 A Street,Compliant,Multifamily Housing,249 A Street,02210,72000,49.1,87.0,,Multifamily Housing,1983,262.6,3.6,3532887.1,0.1687675224039851,,,11.77,,,0602752000
216,249 TORRE UNIDAD,Municipal,Multifamily Housing,80 West Dedham St.,02118,128250,85.2,,,Multifamily Housing,1974,752.4,5.9,10932618.1,0.6628379540304257,0.28020263508518606,,6988.5,,,900095000
217,25 Buick Street,Compliant,Office,25 Buick Street,02215,96215,122.5,38.0,,"Office, Parking",1928,754.4,7.8,11785874.1,0.45979435748427017,0.5006942845248957,,7.3,,,2100400000
218,25 Channel Center Condominium Trust,Compliant,Multifamily Housing,25 Channel Center,02210,60000,77,32.0,,Multifamily Housing,2004,291.5,4.9,4618429.2,0.422298416916297,0.5414123269444079,,43.52,,,0602751100
219,25 James O'Neil S,Compliant,Multifamily Housing,25 James O'Neil St,02127,61678,55.7,95.0,,Multifamily Housing,2012,201.9,3.3,3437253.6,0.2378968441548799,0.7416600858313159,,53.37,,,0700540130
220,25 New Chardon Street (207),Compliant,Office,25 New Chardon Street,02114,111338,101.1,45.0,"2017, 2015, 2014","Office, Parking",1967,699.9,6.3,11257301.1,0.3823667345985798,0.5847754929465288,,1006.02,,A medical training office on third floor makes extensive use of computers but does not have a dedicated data center,0302622000
221,25 Park Drive,Compliant,Multifamily Housing,25 Park Drive,02215,26150,23.8,97.0,,Multifamily Housing,1960,46.6,1.8,621410.5,0.9208675263774913,,,135.49,,,504238000
222,250 Beacon Condominium Association,Compliant,Other - Lodging/Residential,250 Beacon Street ,02116,40671,86.9,,,Other - Lodging/Residential,1900,191.2,4.7,3532645.1,0.042504421969815194,0.9538430848884311,,16.11,,,0502633000
223,250 ROCKLAND TOWERS,Municipal,Multifamily Housing,5300 Washington St.,02132,47460,64.5,,,Multifamily Housing,1972,221,4.7,3059870.5,0.8058552457040257,0.12489541632562554,,9297.58,,,2011609000
224,250 Summer Street,Compliant,Office,250 Summer Street,02210,104728,47.2,84.0,,Office,1903,357.3,3.4,4939643.3,0.8109386642553724,0.11937519860998871,,10.21,,The report covers parcels 0602701002 and 0602701001,0602701002 0602701001
225,251 Causeway - Ste# 700490,Compliant,Office, 251 Causeway Street,02114,150097,58.1,76.0,"2018, 2017, 2016, 2015, 2014, 2013","Medical Office, Office",1909,642.5,4.3,8715057.6,0.8696626456720148,0.0556049107466599,,9.84,,,0301510000
226,251 CODMAN,Municipal,Multifamily Housing,784 Washington St.,02124,64230,153.6,,,Multifamily Housing,1972,573.1,8.9,9868408.5,0.209485228788411,0.7725131565034018,,6548.98,,,1704614000
227,252 HERITAGE,Municipal,Multifamily Housing,209 Sumner St.,02128,278674,60.5,55.0,,Multifamily Housing,1975,1061.9,3.8,16866858.4,0.41543352291378693,0.5488671737470685,,Not Available,,,105398000
228,253 ST. BOTOLPH,Municipal,Multifamily Housing,70 St. Botolph St.,02116,90944,68.2,24.0,,Multifamily Housing,1973,428.7,4.7,6202659.4,0.6748977810066437,0.2671064769411649,,3618.45,,,400975000
229,253 Summer/27 Melcher,Compliant,Office,253 summer st,02210,216012,82.8,60.0,,"Office, Restaurant",1902,1172.7,5.4,17888538.4,0.5249598806574383,0.42992892588698023,,14.49,,"This report covers parcels 0601163005, 0601163015, 0601163025, and 0601164005.",0601163005 0601163015 0601163025 0601164005
230,254 PASCIUCCO,Municipal,Multifamily Housing,330 Bowdoin St.,02122,64830,109.2,,,Multifamily Housing,1973,419.9,6.5,7076809.5,0.26263675818884197,0.7147941597127915,,3813.87,,,1502943000
231,255 St. Botolph Street SLPC,Compliant,College/University,255 St. Botolph Street,02115,135000,87.6,,,College/University,2017,755.4,5.6,11820857.1,0.45514175802023693,0.5057467110400987,,20.02,,,402281000
232,255-The Envoy Hotel,Compliant,Hotel,70 Sleeper Street,02110,83701,115.9,41.0,,Hotel,2016,622.9,7.4,9704198.1,0.46737037363241785,0.49246725497081517,,48.3,,,602640010
233,257 LOWER MILLS,Municipal,Multifamily Housing,2262 Dorchester Ave.,02124,110110,85.1,68.0,,Multifamily Housing,1972,544.9,4.9,9374842.4,0.2115187058931252,0.770304917339197,,4361.6,,,1703554000
234,25833-Brighton/Lincoln ST,Compliant,Self-Storage Facility,156 Lincoln St,02135,113000,9.9,,,Self-Storage Facility,2008,78.4,0.7,1114708.3,0.7281369412966603,0.2092924220623458,,0.09,,,2200972000
235,26 West Broadway (Whole Building): 26 West Broadway (Whole Building),Compliant,Multifamily Housing,26 West Broadway,02127,30303,79.2,5.0,,Multifamily Housing,2015,163.8,5.4,2399189.5,0.6399076646509165,0.3051034109644111,,40.88,,Underground garage,600026000
236,26 West Street,Compliant,Office,26 30 West Street,02111,57593,46.1,,,"Office, Vocational School",1910,185.7,3.2,2656072.7,0.7082033853214936,0.23093878416806887,,10.33,,"Used default values for weekly operating hours, number of workers on main shift and number of computers",0304840000
237,260 Franklin Street,Compliant,Office,260 Franklin Street,02110,372562,62.1,71.0,"2018, 2017, 2016, 2015, 2012, 2011, 2010, 2007","Data Center, Office, Parking",1984,1732.5,4.7,23119095.8,0.9208674173667292,,,11.77,,,0304023000
238,261 AUSONIA HOMES,Municipal,Multifamily Housing,185 Fulton St.,02109,97300,63,68.0,,Multifamily Housing,1977,363.2,3.7,6134641,0.25694582467009885,0.7209741531737553,,3885.66,,,303560000
239,262 HASSAN,Municipal,Multifamily Housing,705 River St.,02126,60440,85,,,Multifamily Housing,1974,385,6.4,5137342.9,0.9208674164615329,,,6052.64,,,1801546000
240,263 / 259 Summer,Compliant,Office,263 Summer Street,02210,64564,110.7,37.0,,Office,1980,499.1,7.7,7144167.6,0.7066633344100158,0.23261122821362704,,11.49,,"263 Summer and 10 Melcher are the same building.

",0602702000
241,264-270 Bay State Road,Compliant,Office,264-270 Bay State Road,02215,65016,130.9,55.0,,Office,1913,473.7,7.3,8512817,0.10691153330325319,0.8839012514893718,,31.73,,,2100360000
242,264-270 Comm Ave,Compliant,College/University,262-270 Comm Ave,02215,60170,Not Available,,,College/University,1900,Not Available,Not Available,Not Available,,,,Not Available,,This is a dormitory building. ,503192000
243,265 Franklin Street,Compliant,Office,265 Franklin Street,02110,364493,57,76.0,"2018, 2017, 2016, 2015","Data Center, Office, Parking",1984,1524.6,4.2,20776325.3,0.7531728370175258,,0.1821050231630711,10,,,304035000
244,26570 - Boston Commons 19,Compliant,Movie Theater,175 Tremont Street,02111,113000,83.9,,,Movie Theater,1990,710.2,6.3,9477103.5,0.9208674075998009,,,Not Available,,Reporting was completed by tenant who leases the whole building. Landlord has the water data and AMC is billed for it. ,304870408
245,266 Summer Street,Compliant,Office,266 Summer Street,02210,45673,62.6,81.0,,"Office, Parking",1899,207,4.5,2860971,0.8112884378066046,0.11899540400793997,,10.91,,,0602701000
246,27 Drydock: 27 Dry Dock Avenue,Compliant,Office,27 Dry Dock Avenue,02210,281600,84.4,56.0,,Office,2002,1527.3,5.4,23758268.3,0.4712686643327451,0.4882339635839536,,13.23,,"27 Drydock was approved for an extension through June 30th to report annual energy/water usage to the city. Message from the City of Boston confirming the extension to 6/30/2017 is provided below:
",0602674014
247,27 School Street,Compliant,Office,27 School Street,02110,56742,57.2,70.0,,Office,1903,236.7,4.2,3248404.7,0.6984419693149686,,0.24153905453960214,34.53,,,0302864000
248,270 SPRING STREET,Municipal,Multifamily Housing,23 Spring St.,02132,76800,38.7,62.0,,Multifamily Housing,1977,222.8,2.9,2973340.1,0.9208673814340983,,,5362.8,,,2008899005
249,27016-Mattapan(Hydepk)/River St,Compliant,Self-Storage Facility,800 River Street,02126,50700,19,,,Self-Storage Facility,2000,59.4,1.2,964708.2,0.35653433649677696,0.6128277960112706,,0.45,,,1804365000
250,271 PATRICIA WHITE,Municipal,Multifamily Housing,20 Washington St.,02135,271704,55.3,73.0,,Multifamily Housing,1978,894.6,3.3,15020394.3,0.2718477613733482,0.7047916445176143,,3763.43,,,2102001000
251,272 ROSLYN,Municipal,Multifamily Housing,1 Cliffmont St.,02131,130920,73.7,53.0,,Multifamily Housing,1977,567,4.3,9655135.6,0.23692026461026608,0.7427205476016308,,3053.32,,,1805623000
252,273-277 Babcock Street,Compliant,Residence Hall/Dormitory,273-277 Babcock Street,02215,451494,111.9,36.0,,Residence Hall/Dormitory,1963,3000,6.6,50507088.8,0.2651211977555119,0.7120962335093051,,30.75,,,2100402000
253,274 Summer Street,Compliant,Office,274 Summer St,02210,68201,70.9,59.0,,"Office, Restaurant",1899,362.6,5.3,4838576.3,0.9208673978748666,,,11.97,,,0602699000
254,277 BELLFLOWER,Municipal,Multifamily Housing,24 Bellflower St.,02125,85000,56.5,83.0,,Multifamily Housing,1981,287.9,3.4,4801444.1,0.28917664791723807,0.6859736219776047,,4870.18,,,703210000
255,278-286 Babcock Street,Compliant,Parking,278-286 Babcock Street,02215,67992,13.8,,,Parking,1991,70.1,1,935257.8,0.9208672502918446,,,28.72,,,2100479000
256,28 Quint Avenue Condominium,Compliant,Multifamily Housing,28 Quint Avenue,02134,24830,80.4,,,Multifamily Housing,1926,107.4,4.3,1996018.2,0.028713462432356576,0.9688191219899699,,46.7,,,2100921000
257,28 State Street,Compliant,Office,28 State Street,02109,656894,68.8,73.0,,"Bank Branch, Data Center, Office, Parking, Restaurant",1968,3386.8,5.2,45195144.5,0.9208674161712217,,,11.63,,,0303694000
258,28 Travis,Compliant,Office,28 Travis St,02134,43190,Not Available,,,Office,2006,Not Available,Not Available,Not Available,,,,Not Available,,,2200254000
259,280 Comm Ave,Compliant,Multifamily Housing,280 Commonwealth Avenue,02116,47810,31.9,76.0,,Multifamily Housing,1894,114.5,2.4,1527299.9,0.9208675336127502,,,21.04,,,503187000
260,280 Summer Street,Compliant,Office,280,02210,138350,55.4,,,Office,1900,571.7,4.1,7660376.3,0.531100255714592,,,4.66,,All usage data was provided by the utility company.    ,0602698000
261,281 Summer Street,Compliant,Office,273-281 Summer Street,02210,168408,51.2,66.0,"2018, 2017",Office,1904,645.9,3.8,8619367,0.9208674281301632,,,3.85,,"Please note that the two meters that became inactive in mid September 2016, namely ""269 B&B"" and ""269 Public"" are now on ""Meter 273 Common"".
",02704000 02703000
262,283 PEABODY SQUARE,Municipal,Multifamily Housing,1875 Dorchester Ave,02122,73200,64.3,,,Multifamily Housing,1982,294.7,4,4709381.4,0.39935528814888505,0.5663270339497242,,8096.15,,,1601530000
263,"285 Babcock, Case Center",Compliant,Indoor Arena,"285 Babcock, Case Center",02215,131857,248.5,,,Indoor Arena,1972,2057.9,15.6,32770434.6,0.4086152668173647,0.556271337945576,,57.69,,Shares electric meter with 273-277 Babcock Street,2100402000
264,285 Columbus Ave LLC,Compliant,Multifamily Housing,285 Columbus Primary CNDO,02116,100000,43.6,71.0,,Multifamily Housing,1911,296.4,3,4360982.8,0.6268180713301599,0.3193177923104856,,18.96,,,0400548010
265,290 JOSEPH C. MALONE,Municipal,Multifamily Housing,11 Gordon Ave,02136,82800,94.6,32.0,,Multifamily Housing,1981,444.2,5.4,7828850.8,0.1528629188079558,0.8340011537836434,,5145.15,,,1811091000
266,29187-Boston / Southampton Street,Compliant,Self-Storage Facility,290 Southampton Street,02118,73400,21.7,,,Self-Storage Facility,2004,98.2,1.3,1592986.6,0.35920876923886236,0.6099235235249311,,0.15,,,0700074020
267,294 Washington Street,Compliant,Office,294 Washington Street,02210,225294,66.1,84.0,,"Fast Food Restaurant, Office",1903,1052.2,4.7,14900500.5,0.5113605091990031,0.039792267380548724,0.40490464733047055,12.28,,,0303907000
268,295 COMMONWEALTH ELDERLY,Municipal,Multifamily Housing,"2-4,6-8 Fidelis Way",02135,71938,56.6,,,Multifamily Housing,1951,247,3.4,4071704.8,0.3185171061517033,0.6541118599757035,,Not Available,,,2101848000
269,298 HAMPTON HOUSE,Municipal,Multifamily Housing,155 Northhampton St.,02118,55472,80.4,6.0,,Multifamily Housing,1973,310,5.6,4461789,0.690989599911605,0.24963184050164633,,6855.63,,,900890000
270,299 WASHINGTON MANOR,Municipal,Multifamily Housing,1701 Washington St.,02118,55472,91.6,2.0,,Multifamily Housing,1973,349.4,6.3,5078811.3,0.6614620340787224,0.28169680176934314,,7805.97,,,900650000
271,3/15 Lorraine Terrace,Compliant,Multifamily Housing,3/15 Lorraine Terrace,02134,28116,77.2,50.0,,Multifamily Housing,1920,140.6,5,2169565.5,0.49255717147050865,0.46511617187865495,,52.35,,5/3/2018 Eversource confirmed usage provided covers all of the service addresses at the property. ,2101822000
272,30 Dalton,Compliant,Multifamily Housing,30 Dalton Street,02115,260000,45.2,77.0,,"Food Sales, Multifamily Housing, Parking",2016,788.8,3,11741347.6,0.5936651572771766,0.3553196142493899,,19.27,,,0401323010
273,30 Fairlawn,Compliant,Multifamily Housing,15 Bismark Street,02026,19200,77.4,,,Multifamily Housing,1965,110.4,5.7,1486255,0.08261873097146855,,,40.47,,,1801935000
274,30 Federal Street,Compliant,Office,30 Federal Street,02110,50000,45.7,77.0,,Office,1929,153.5,3.1,2286981,0.5905216182381926,0.3587332382735143,,6.62,,,0304671000
275,30 Northampton Street,Compliant,Other,30 Northampton St,02118,60460,31.7,,,"Other, Parking",1964,114.6,1.9,1918524.9,0.27878849005295686,0.6972545417575764,,3.6,,*Parking lot area is estimated.,0801750000
276,"300 A Street, LLC",Compliant,Office,300 A Street ,02210,11683,762.7,32.0,,Office,1904,473.3,40.5,8911199.9,,1.0,,2939.58,,"

Eversource Accounts
Meter 5118223	Account 27293460088
Meter 5046510	Account 28114530042
Meter 5035941	Account 27973280053
Meter 5094674	Account 27984920051
Meter 5036900	Account 27280570097

Gas Account 5144819268 at 288 A Street Meter #001428531

Water Account 145431000 at 288 A Street Meter # 03002521


",01166-060
277,300 Babcock Street,Compliant,College/University,300 Babcock Street,02215,88000,71.1,,,College/University,1986,372.5,4.2,6253462.7,0.27227276826965,0.70433011457796,,4.5,,,2100412001
278,300 CENTRAL OFFICE,Municipal,Office,52 Chauncy St.,02111,79056,51,69.0,,Office,1915,285.8,3.6,4028390.5,0.7529339051415199,0.18236452002356773,,989.36,,,304555000
279,303 Congress St.,Compliant,Office,303 Congress Street,02110,71898,21.1,,,Office,2001,113.5,1.6,1514566.3,0.9208673359495718,,,12.21,,,602691000
280,30-38 Cummington Street,Compliant,Laboratory,30-38 Cummington Street,02215,36563,283.7,,,Laboratory,1917,629.6,17.2,10372969.6,0.3200814426179365,0.6524131141770627,,10.78,,,2100287000
281,31 Hemenway Street,Compliant,College/University,31 Hemenway Street ,02115,38783,Not Available,,,College/University,2010,Not Available,Not Available,Not Available,,,,Not Available,,,401763000
282,311 Summer St,Compliant,Office,311 Summer St,02210,57865,73.8,58.0,,Office,1904,289,5,4271147.8,0.6134205423188587,0.33386660138522956,,10.4,,,602763010
283,313 Congress Street,Compliant,Office,313 Congress Street,02210,72912,63.3,71.0,"2018, 2017, 2016, 2014",Office,1890,322.8,4.4,4612171,0.711899914161899,0.22692465218657332,,11.24,,,0602692000
284,3-15 Alaska St,Compliant,Multifamily Housing,3-15 Alaska St,02119,42548,62.3,92.0,,Multifamily Housing,1900,143.4,3.4,2652007.1,0.04114267378846761,0.9553217636559118,,36.07,,,1200420000
285,315 on A - 24305,Compliant,Multifamily Housing,315 A Street,02110,207496,65.6,49.0,,"Multifamily Housing, Parking",2013,881.8,4.2,13608952.2,0.4860398781766609,0.46481169946353407,,24.07,21155.1,"2016-1 Chg wtr mtrs from 'potable-indoor' to 'potable-mixed indoor/outdoor' after 2015 submission.
2015-1  Property in lease up mode so overall increase in energy use.
2015-1  Corrected GFA and garage sq ft based upon Equity on-site team (r. cunningham).
2015-2  Equity Residential bought property 4/17/15.  Assumed previous owner's PM profile.
2015-3  Added solar meter & input both 2014 & 2015 solar production.",0602761030
286,319A,Compliant,Multifamily Housing,319 A Street,02210,48337,Not Available,,,"Multifamily Housing, Retail Store",1913,0,0,Not Available,,,,Not Available,,,602761100
287,320 Summer Street,Compliant,Office,320 Summer Street,02210,115331,81.2,62.0,"2018, 2017, 2016, 2015",Office,2013,633.2,5.5,9362471.4,0.6123698009480703,0.3350076455240226,,10.19,,"
",02689-000
288,321 Summer Street,Compliant,Office,321 Summer Street,02210,91482,50.8,91.0,"2018, 2017, 2016","Office, Parking",1911,280.8,3.1,4644568.4,0.30954166884483814,0.6638586052473681,,6.33,,,0602764000
289,32-38 Bromfield Street,Compliant,Office,32-38 Bromfield Street,02108,41818,85.5,64.0,,Office,1899,234.2,5.6,3574132.4,0.09774994172012207,0.13444143815153575,0.7594086889450431,7.38,,,0304761000
290,33 Arch Street,Compliant,Office,33 Arch Street,02110,648403,57.9,76.0,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008","Office, Parking",2004,2812.2,4.3,37526976.8,0.920867410475762,,,9.54,,,0304643020
291,33 Broad Street,Compliant,Office,33 Broad Street,02109,40933,116.9,41.0,,"Food Service, Office, Self-Storage Facility",1902,275.3,6.7,4784443.2,0.18694153292487617,0.7969940786422127,,15.39,,,0303840000
292,33 Gainsborough Street,Compliant,College/University,33 Gainsborough Street,02115,54000,105.8,,,College/University,1956,322.5,6,5713501.8,0.1407503921675495,0.847154559398231,,4.78,,,402282000
293,33 Harry Agganis Way,Compliant,Residence Hall/Dormitory,33 Harry Agganis,02215,399578,122.6,42.0,,Residence Hall/Dormitory,2008,2957.2,7.4,48981743.3,0.30630345422189165,0.6673750789102683,,28.85,,, 2100401000
294,33/41 Farnsworth Street,Compliant,Office,33/41 Farnsworth Street,02210,94381,83.3,63.0,,Office,1980,520.8,5.5,7857427.6,0.5556838250472712,0.39656479940076067,,6.06,,We are re-filing CY-2016 because we did not include 6 tenant electric meters. ,0602660010
295,330 Beacon Street,Compliant,Multifamily Housing,330 Beacon Street,02116,138000,57.3,76.0,,Multifamily Housing,1950,477.9,3.5,7910635.6,0.3078376792125275,0.6657090107904857,,19.73,,,503289000
296,330 Congress Street,Compliant,Office,330 Congress Street,02210,36394,54.2,75.0,"2018, 2017, 2016, 2014","Convenience Store without Gas Station, Office",1895,142.4,3.9,1972161.7,0.8062413546515989,0.12447615223437308,,13.88,,,0602668000
297,332 Congress Street,Compliant,Office,332 Congress Street,02210,36192,58.4,77.0,,Office,1980,158.3,4.4,2112674.2,0.9208673919528151,,,13.99,,,0602667000
298,333 Longwood,Compliant,Parking,333 Longwood Ave ,02115,89787,93.4,,,"Medical Office, Parking",1989,628.7,7,8389514.5,0.9208674308388167,,,14.29,,Childrens Hospital took ownership and reporting duties for CY 2018,401855000
299,333 Summer,Compliant,Office,333 Summer Street,02210,117801,44.2,81.0,"2018, 2017",Office,1907,388.6,3.3,5202131,0.9105650302923937,0.011187722877413122,,10.59,,,"602765015, 0602765030"
300,333 Washington Condo Trust,Compliant,Other - Mall,333 Washington Street,02108,143954,37.7,,,Other - Mall,1930,385.2,2.7,5419884.7,0.7579626392421226,0.1769035787790836,,44.55,,,304721000
301,337 Huntington Avenue,Compliant,College/University,337 Huntington Avenue,02115,50023,73.7,,,College/University,1923,200.5,4,3686447.8,0.05324386798586976,0.9421807356122065,,37.52,,,401679000
302,33751-Boston Marriott Long Wharf,Compliant,Hotel,296 State Street,02109,350000,80.1,69.0,,Hotel,1990,1900.6,5.4,28052162.3,0.6176906761515493,0.329229518966529,,41.99,,,0303020000
303,33787-Boston Copley Marriott,Compliant,Hotel,110 Huntington Ave,02116,863000,84.7,64.0,,Hotel,1983,5153.2,6,73138215,0.5294249410462095,0.06395835473972122,0.3611218116274782,30.56,,0400985100,0400985100
304,34 Farnsworth,Voluntary,Office,34 Farnsworth Street,02210,25000,95.9,66.0,,Office,1980,151.5,6.1,2397841.9,0.4240070500894992,0.5395568823782753,,11.82,,,0602663010
305,343 Congress,Compliant,Office,343 Congress Street,02210,111535,120.1,17.0,,"Office, Restaurant",1888,972.2,8.7,13395910.2,0.8211221477880615,0.10831664129847632,,18.78,,National grid gas says that gas accounts reside at 343 Congress and 345 Congress for restaurant gas for this proeprty... ,0602694000
306,347 Congress Street,Compliant,Office,347 Congress Street,02210,91520,95.2,63.0,,Office,1883,608.7,6.7,8714533.5,0.7061324098186093,0.2331877546858934,,17.66,,,0602695000
307,349 Washington,Compliant,Retail Store,363 349 Washington Street,02109,18047,6,100.0,,Retail Store,1945,8.1,0.4,107467,0.9208682255948337,,,0.04,,Building was unoccupied 2019.,304729000
308,35 Channel Center Condominium Trust,Compliant,Multifamily Housing,35 Channel Center,02210,60000,42.6,66.0,,Multifamily Housing,2004,175.7,2.9,2558350.3,0.6562305747574912,0.2873777293125183,,26.33,,,0602751300
309,3-5 Cummington Street (616-620 Comm. Ave.),Compliant,Laboratory,3-5 Cummington Street (616-620 Comm. Ave.),02215,149118,164.9,,,Laboratory,1913,1567.9,10.5,24587500,0.4495461018322318,0.5118232109811895,,11.77,,,2100350000
310,350 Washington Street,Compliant,Retail Store,350 Washington Street,02108,200784,58.9,45.0,,"Fitness Center/Health Club/Gym, Retail Store",1965,862.3,4.3,11835629.1,0.6966092022434195,,0.24352930255308525,15.8,,"Re-submitting with corrected energy use data.

EMA increased sub-basement GSA from 16,723 to 38,000 ft2 to comply with ES guidelines. This increased property GAS from 166,700 to 187,977 ft2.",0304630010
311,3588-Allston,Compliant,Supermarket/Grocery Store,1065 Commonwealth Ave,02215,64485,299,44.0,,Supermarket/Grocery Store,1999,1312.6,20.4,19279195.5,0.6316036210535859,0.31412100676088894,,18.84,,,2100475000
312,360 Newbury Condo Trust2,Compliant,Multifamily Housing,360 Newbury Street 4th floor,02115,125000,51.6,49.0,,Multifamily Housing,1913,435.3,3.5,6444555.5,0.6089990910622152,0.3386679965747832,,22.95,,,0503045010
313,36-44 Quint Ave,Compliant,Multifamily Housing,36-44 Quint Ave,02134,51784,69.1,59.0,,Multifamily Housing,1990,209.7,4,3575937.1,0.23296520998649559,0.7470154606466651,,29.41,,,2100917000
314,36-46 Orkney Road Condominium,Compliant,Multifamily Housing,36-46 Orkney Road,02135,48000,13.2,100.0,,Multifamily Housing,1913,34.8,0.7,633402,0.07894659315884699,0.9142692950132775,,26.21,,,2102405000
315,371 Smiley Dorchester LLC,Compliant,Office,371-385 Dorchester Ave,02127,199000,7.6,,,"Office, Parking",1950,96.1,0.5,1504345,0.4546091334102217,0.5063250118822478,,7.71,,,0700014-000
316,374 Congress,Compliant,Office,374 Congress Street,02210,95855,106.1,68.0,,"Office, Restaurant",1980,603.9,6.3,10173369.3,0.2634443721806108,0.7139171385432749,,17.68,,"The CY-2018 total gas usage for the property is accurate; however, the monthly spread was left to EMA since the aggregated nationla grid gas spreadsheet had lumped months together. ",0602646010
317,38 Chauncy Street,Compliant,Office,38 Chauncy Street,02111,139733,46.2,84.0,"2018, 2017, 2016, 2014, 2013, 2012, 2009",Office,1928,443.2,3.2,6456671.7,0.6554942835021331,0.28817732826651227,,17.32,,,0304557000
